羊小腿（羊棒）,24.00,24.50,25.00,普通,斤,2021-03-18
羊骨头,11.00,11.50,12.00,普通,斤,2021-03-18
羊腩,32.00,32.50,33.00,普通,斤,2021-03-18
羊里脊,42.00,42.00,42.00,普通,斤,2021-03-18
淘汰鸡（干净膛）,9.50,9.50,9.50,普通,斤,2021-03-18
淘汰鸡（净膛）,8.50,8.50,8.50,普通,斤,2021-03-18
香菇,2.50,3.75,5.00,普通,斤,2021-03-18
香菜,3.50,4.50,5.50,鲁冀,斤,2021-03-18
山药,1.80,2.10,2.40,脆麻新,斤,2021-03-18
铁棍山药,5.00,5.75,6.50,普通,斤,2021-03-18
藕,2.00,3.00,4.00,津,斤,2021-03-18
小毛冬瓜,2.80,3.05,3.30,长圆,斤,2021-03-18
韭菜,1.30,1.50,1.70,二茬粤,斤,2021-03-18
小白菜,1.40,1.50,1.60,普通,斤,2021-03-18
蒜苗,3.00,4.00,5.00,云鲁存,斤,2021-03-18
蒜黄,2.00,2.90,3.80,2茬冀,斤,2021-03-18
豆王,3.70,5.85,8.00,普通,斤,2021-03-18
扁豆,3.00,4.00,5.00,冀鲁聊城,斤,2021-03-18
豇豆,4.50,5.50,6.50,桂滇闽,斤,2021-03-18
白不老,5.00,5.70,6.40,滇,斤,2021-03-18
油豆,7.00,7.90,8.80,滇,斤,2021-03-18
毛豆,6.00,6.15,6.30,普通,斤,2021-03-18
红薯,1.30,1.50,1.70,冀新,斤,2021-03-18
红薯,2.30,2.55,2.80,西瓜红,斤,2021-03-18
绿豆芽,0.90,0.95,1.00,普通,斤,2021-03-18
黄豆芽,0.80,0.85,0.90,普通,斤,2021-03-18
荸荠,1.60,2.20,2.80,皖,斤,2021-03-18
油麦菜,2.50,2.75,3.00,京,斤,2021-03-18
玉米,1.60,1.80,2.00,普通,斤,2021-03-18
彩椒,6.00,6.50,7.00,红黄,斤,2021-03-18
青蒜,0.70,0.85,1.00,京,斤,2021-03-18
西芹,1.80,1.90,2.00,普通,斤,2021-03-18
茭白,4.30,4.90,5.50,京浙,斤,2021-03-18
瓠子,3.00,3.50,4.00,普通,斤,2021-03-18
苤蓝,2.30,2.40,2.50,普通,斤,2021-03-18
凉薯,2.00,2.15,2.30,普通,斤,2021-03-18
佛手瓜,2.00,2.30,2.60,普通,斤,2021-03-18
小水萝卜,1.80,1.90,2.00,普通,斤,2021-03-18
紫菜苔,3.00,3.50,4.00,普通,斤,2021-03-18
冬春笋,3.00,3.50,4.00,普通,斤,2021-03-18
海带,1.00,1.05,1.10,普通,斤,2021-03-18
小葱,2.00,2.05,2.10,普通,斤,2021-03-18
油菜,1.50,1.75,2.00,水菜,斤,2021-03-18
小白菜,1.50,2.00,2.50,水菜,斤,2021-03-18
油麦菜,2.50,3.00,3.50,水菜,斤,2021-03-18
奶白菜,2.50,3.00,3.50,水菜,斤,2021-03-18
茭白,4.30,4.90,5.50,京浙,斤,2021-03-16
瓠子,1.50,2.50,3.50,普通,斤,2021-03-16
苤蓝,2.30,2.40,2.50,普通,斤,2021-03-16
凉薯,2.00,2.15,2.30,普通,斤,2021-03-16
佛手瓜,2.00,2.30,2.60,普通,斤,2021-03-16
小水萝卜,1.80,1.95,2.10,普通,斤,2021-03-16
紫菜苔,3.00,3.50,4.00,普通,斤,2021-03-16
冬春笋,3.00,3.50,4.00,普通,斤,2021-03-16
海带,1.00,1.05,1.10,普通,斤,2021-03-16
小葱,2.30,2.40,2.50,普通,斤,2021-03-16
油菜,1.50,1.75,2.00,水菜,斤,2021-03-16
小白菜,2.00,2.25,2.50,水菜,斤,2021-03-16
油麦菜,2.50,2.75,3.00,水菜,斤,2021-03-16
奶白菜,2.50,2.75,3.00,水菜,斤,2021-03-16
散生菜,3.50,3.75,4.00,水菜,斤,2021-03-16
香葱,3.50,3.75,4.00,水菜,斤,2021-03-16
茼蒿,7.00,7.50,8.00,水菜,斤,2021-03-16
蒿子秆,2.50,3.00,3.50,水菜,斤,2021-03-16
水萝卜,3.50,3.75,4.00,水菜,斤,2021-03-16
樱桃萝卜,3.50,3.75,4.00,水菜,斤,2021-03-16
麒麟西瓜,3.50,3.75,4.00,西瓜类,斤,2021-03-17
黑美人,2.00,2.10,2.20,西瓜类,斤,2021-03-17
特小风,3.00,3.25,3.50,西瓜类,斤,2021-03-17
甜王,2.50,2.65,2.80,西瓜类,斤,2021-03-17
缅甸皮二,2.00,2.15,2.30,西瓜类,斤,2021-03-17
国产香蕉,2.80,3.10,3.40,香蕉类,斤,2021-03-17
白条猪（瘦）,16.50,16.50,16.50,普通,斤,2021-03-17
